order_id,product_id,quantity,unit_price
9b883d15-f075-48c2-9a9d-4ebb8dcf45e5,d493f3be-a11d-46a9-abab-66b1446f8a60,2,22.76
9b883d15-f075-48c2-9a9d-4ebb8dcf45e5,82a58322-3555-46b7-9d2f-37412a942678,2,482.43
9b883d15-f075-48c2-9a9d-4ebb8dcf45e5,ed28a419-7bc9-4d1d-8ba3-1e63d2ad2824,1,56.37
9b883d15-f075-48c2-9a9d-4ebb8dcf45e5,f1ed5550-665e-4396-9a4b-328fd2f91277,3,13.29
ec3f2c9e-dcd0-4c80-927e-86d65ac93efb,d8a53ad8-9268-486c-b953-1d594ca10528,3,171.81
ec3f2c9e-dcd0-4c80-927e-86d65ac93efb,05a00f0d-62e5-483e-8686-0ac934ae90d0,1,14.36
ec3f2c9e-dcd0-4c80-927e-86d65ac93efb,4a75e719-9479-4132-9f8c-6b683af3a721,1,192.44
68a793d3-5fe2-49bc-bda8-3e4b0edbc082,bf6fa1f2-f449-4f77-86ed-e1393296362b,2,32.67
68a793d3-5fe2-49bc-bda8-3e4b0edbc082,764c0ae8-0224-42cb-9f9d-10cd7bbf9ce1,3,459.0
68a793d3-5fe2-49bc-bda8-3e4b0edbc082,b8b92dce-829a-4a73-ab44-5008baae2add,3,461.87
68a793d3-5fe2-49bc-bda8-3e4b0edbc082,75997544-98b6-439d-87c2-fd8079ef7535,2,121.13
68a793d3-5fe2-49bc-bda8-3e4b0edbc082,26317105-ab1f-45d7-980e-d17ccd48816a,2,313.99
04c85efb-0bed-43ba-b705-f93a5c1eb818,a52929ef-d7f4-4a89-a1aa-f56872c5e79d,2,432.98
04c85efb-0bed-43ba-b705-f93a5c1eb818,32cd0158-6961-42a2-ad17-7770d3a6324c,1,237.9
04c85efb-0bed-43ba-b705-f93a5c1eb818,9831a185-ff0e-48d6-8736-9619033be6c9,1,115.96
baa1f376-2144-4056-860d-0ddb956434d9,c49859e9-9c46-4c1e-a5e6-d7db59923b1b,3,283.58
