order_id,customer_id,order_date,status
9b883d15-f075-48c2-9a9d-4ebb8dcf45e5,f1aed598-ba2c-48eb-9334-427ca72fcb37,2025-03-13 15:29:05.548382,shipped
ec3f2c9e-dcd0-4c80-927e-86d65ac93efb,59893e43-7031-4a9c-870f-46f0df3fbb0b,2025-12-09 15:29:05.549086,cancelled
68a793d3-5fe2-49bc-bda8-3e4b0edbc082,3d18b90a-8123-4164-a3dd-a9da8107cdd1,2025-07-08 15:29:05.549883,delivered
04c85efb-0bed-43ba-b705-f93a5c1eb818,6744ab06-e17f-4a16-afa6-a4126b573537,2026-03-02 15:29:05.550670,shipped
baa1f376-2144-4056-860d-0ddb956434d9,24331109-d12f-46e9-a169-6ec4233a71cd,2025-04-08 15:29:05.551391,
41b024e3-76d6-4bda-ad66-26a9de9605b4,e535f32d-b937-4b1e-874f-36038d7c95c6,2025-03-18 15:29:05.552114,delivered
22793592-e783-4603-b155-0081618b9d48,156370df-94b3-4f10-b72e-d674f25a4cf9,2025-03-25 15:29:05.552906,cancelled
00a260aa-e0a9-4732-be40-53f99b5529c9,e8db77c2-e2e2-4d54-a48c-ea8b591b54c4,2025-08-05 15:29:05.553601,delivered
bda4e8f0-e471-4346-b4b0-ca7d79bf7489,5ed75f37-ad77-4547-a882-8c987efa31b3,2025-05-01 15:29:05.554315,cancelled
366d9d7a-91dc-4c23-9d16-1c1ec7132ce9,17c35a15-cf7a-42e8-b73e-ef713f69b40b,2025-03-28 15:29:05.555066,shipped
0fc54b1f-6367-4566-bf05-89339253ff31,9169092f-6b39-4958-bb36-4ba03d886069,2025-03-12 15:29:05.555768,created
b51b50fa-ab05-4b23-a2d3-6fcf1bbed535,7d5728e6-2e28-4e81-9901-766b918db370,2025-04-18 15:29:05.556527,delivered
ea956653-6b1d-4f01-b617-f4849b953af7,8a6d0338-d11a-4ce4-894a-7e578dcf38c4,2025-05-05 15:29:05.557237,
f5845544-842f-42a1-9a83-108d1ef561f9,0d1fa001-74db-4e9c-a9ad-aa7f9cc78bdb,2025-07-04 15:29:05.557921,
7e3f9ae2-3b88-44df-a5b5-d46dc697ec13,f7d55b33-1c8c-4854-ab57-397a6f7eb230,2025-12-23 15:29:05.558661,created
cffa4c86-2370-4760-920a-4130c40fea90,3114c507-8720-45ce-9782-c5713427c71d,2026-01-20 15:29:05.559354,cancelled
7a1f7dc0-ec9f-4c50-8ed9-1efa88a613be,1a8ef9a0-7847-4681-aacd-082760f5867b,2025-09-06 15:29:05.560206,delivered
46cbf0ab-b219-4437-a231-6ff8a9ac774e,998f89e5-2dd5-4eb5-a38b-cbeed9e23115,2025-03-29 15:29:05.560970,
a1c6b682-b0f2-43f9-8b68-9b29d486176c,60f68d81-527c-4128-8ff7-27239b61eb90,2025-10-06 15:29:05.561677,shipped
57a6241b-264f-4905-b1ba-47073dfc65a4,4132a0c3-36dc-4d83-b315-1c07d7b0833d,2025-07-03 15:29:05.562387,shipped
bc185d8c-5080-4cc7-94b1-b409d41003af,690f8e0a-00fd-4116-9cd8-c867d93979f2,2026-02-04 15:29:05.563115,cancelled
